Y-coord,X-coord,OTP (1),Detox (2),Res (3),OP (4),FQHC (5),SPC (5),PCP (6),Emergency (7),Capacity,Provider Type,Usage,Waitlist,In Area,Name and Address,Target Pop
37.3128569,-121.93327,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3134948,-121.9335,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3134948,-121.9335,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3128569,-121.93327,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3128569,-121.93327,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3371433,-122.0126,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3128569,-121.93327,0,0,0,0,0,0,0,0,0,bup,,,,,
37.326606,-121.94029,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4341823,-121.87843,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4365225,-122.17837,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3102577,-121.89766,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4387529,-122.17105,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4477109,-122.15544,0,0,0,0,0,0,0,0,0,bup,,,,,
37.2742406,-121.77319,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4285115,-122.14272,0,0,0,0,0,0,0,0,0,bup,,,,,
